V1	V(Vd)*I(R1)
Step Information: Rap=1  (Step: 1/11)
1.790000000000000e+01	1.499015e+02
1.800000000000000e+01	1.499015e+02
1.810000000000000e+01	1.499016e+02
1.820000000000000e+01	1.499016e+02
1.830000000000000e+01	1.499017e+02
1.840000000000000e+01	1.499017e+02
1.850000000000000e+01	1.499018e+02
1.860000000000000e+01	1.499019e+02
1.870000000000000e+01	1.499019e+02
1.880000000000000e+01	1.499020e+02
1.890000000000000e+01	1.499020e+02
1.900000000000000e+01	1.499021e+02
1.910000000000000e+01	1.499021e+02
1.920000000000000e+01	1.499022e+02
1.930000000000000e+01	1.499022e+02
1.940000000000000e+01	1.499023e+02
1.950000000000000e+01	1.499023e+02
1.960000000000000e+01	1.499024e+02
1.970000000000000e+01	1.499024e+02
1.980000000000000e+01	1.499025e+02
1.990000000000000e+01	1.499025e+02
2.000000000000000e+01	1.499026e+02
Step Information: Rap=11  (Step: 3/11)
-5.000000000000000e+00	6.743971e-20
-4.900000000000000e+00	6.743971e-20
-4.800000000000000e+00	6.743971e-20
-4.700000000000000e+00	6.743971e-20
-4.600000000000000e+00	6.743971e-20
-4.500000000000000e+00	6.743971e-20
-4.400000000000000e+00	6.743971e-20
-4.300000000000000e+00	6.743971e-20
-4.200000000000000e+00	6.743971e-20
-4.100000000000000e+00	6.743971e-20
-4.000000000000000e+00	6.743978e-20
-3.900000000000000e+00	6.743978e-20
-3.800000000000000e+00	6.743971e-20
-3.700000000000000e+00	6.743978e-20
-3.600000000000000e+00	6.743971e-20
-3.500000000000000e+00	6.743978e-20
-3.400000000000000e+00	6.743978e-20
-3.300000000000000e+00	6.743971e-20
-3.200000000000000e+00	6.743978e-20
-3.100000000000000e+00	6.743971e-20
-3.000000000000000e+00	6.743978e-20
-2.900000000000000e+00	6.743978e-20
-2.800000000000000e+00	6.743971e-20
-2.700000000000000e+00	6.743978e-20
-2.600000000000000e+00	6.743978e-20
-2.500000000000000e+00	6.743978e-20
-2.400000000000000e+00	6.743978e-20
-2.300000000000000e+00	6.743978e-20
-2.200000000000000e+00	6.743978e-20
-2.100000000000000e+00	6.743978e-20
-2.000000000000000e+00	6.743981e-20
-1.900000000000000e+00	6.743978e-20
-1.800000000000000e+00	6.743978e-20
-1.700000000000000e+00	6.743978e-20
-1.600000000000000e+00	6.743978e-20
-1.500000000000000e+00	6.743981e-20
-1.400000000000000e+00	6.743978e-20
-1.300000000000000e+00	6.743978e-20
-1.200000000000000e+00	6.743981e-20
-1.100000000000000e+00	6.743981e-20
-1.000000000000000e+00	6.743980e-20
-8.999999999999995e-01	6.743980e-20
-7.999999999999998e-01	6.743980e-20
-7.000000000000002e-01	6.743981e-20
-5.999999999999996e-01	6.743978e-20
-5.000000000000000e-01	6.743979e-20
-3.999999999999995e-01	6.743979e-20
-2.999999999999998e-01	6.743979e-20
-1.999999999999993e-01	6.743979e-20
-9.999999999999964e-02	6.743979e-20
0.000000000000000e+00	6.743979e-20
1.000000000000005e-01	6.743979e-20
2.000000000000002e-01	6.743978e-20
3.000000000000007e-01	6.743982e-20
4.000000000000004e-01	6.744005e-20
5.000000000000000e-01	6.744197e-20
6.000000000000005e-01	6.745564e-20
7.000000000000002e-01	6.755664e-20
8.000000000000007e-01	6.830479e-20
