V1	V(N001,Vd)
Step Information: Rap=1  (Step: 1/11)
-2.600000000000000e+00	3.000000e+01
-2.500000000000000e+00	3.000000e+01
-2.400000000000000e+00	3.000000e+01
-2.300000000000000e+00	3.000000e+01
-2.200000000000000e+00	3.000000e+01
-2.100000000000000e+00	3.000000e+01
-2.000000000000000e+00	3.000000e+01
-1.900000000000000e+00	3.000000e+01
-1.800000000000000e+00	3.000000e+01
-1.700000000000000e+00	3.000000e+01
-1.600000000000000e+00	3.000000e+01
-1.500000000000000e+00	3.000000e+01
-1.400000000000000e+00	3.000000e+01
-1.300000000000000e+00	3.000000e+01
-1.200000000000000e+00	3.000000e+01
-1.100000000000000e+00	3.000000e+01
-1.000000000000000e+00	3.000000e+01
-8.999999999999995e-01	3.000000e+01
-7.999999999999998e-01	3.000000e+01
-7.000000000000002e-01	3.000000e+01
-5.999999999999996e-01	3.000000e+01
-5.000000000000000e-01	3.000000e+01
-3.999999999999995e-01	3.000000e+01
-2.999999999999998e-01	3.000000e+01
-1.999999999999993e-01	3.000000e+01
-9.999999999999964e-02	3.000000e+01
0.000000000000000e+00	3.000000e+01
1.000000000000005e-01	3.000000e+01
2.000000000000002e-01	3.000000e+01
3.000000000000007e-01	3.000000e+01
4.000000000000004e-01	3.000000e+01
5.000000000000000e-01	3.000000e+01
6.000000000000005e-01	3.000000e+01
7.000000000000002e-01	3.000000e+01
8.000000000000007e-01	3.000000e+01
9.000000000000004e-01	3.000000e+01
1.000000000000000e+00	3.000000e+01
1.100000000000001e+00	3.000000e+01
1.200000000000000e+00	3.000000e+01
1.300000000000001e+00	3.000000e+01
1.400000000000000e+00	3.000000e+01
1.500000000000000e+00	3.000000e+01
1.600000000000001e+00	2.999997e+01
1.700000000000000e+00	2.999980e+01
1.800000000000001e+00	2.999855e+01
1.900000000000000e+00	2.998943e+01
2.000000000000000e+00	2.992437e+01
2.100000000000001e+00	2.948939e+01
2.200000000000000e+00	2.707380e+01
2.300000000000001e+00	1.870045e+01
2.400000000000000e+00	5.710257e+00
2.500000000000000e+00	9.480095e-02
2.600000000000001e+00	6.112289e-02
2.700000000000000e+00	4.689217e-02
2.800000000000001e+00	3.882980e-02
2.900000000000000e+00	3.361893e-02
3.000000000000000e+00	2.997017e-02
3.100000000000000e+00	2.727127e-02
3.200000000000001e+00	2.519035e-02
3.300000000000001e+00	2.353477e-02
3.400000000000000e+00	2.218819e-02
3.500000000000000e+00	2.107048e-02
3.600000000000000e+00	2.012634e-02
3.700000000000001e+00	1.931953e-02
3.800000000000001e+00	1.862144e-02
3.900000000000000e+00	1.801109e-02
4.000000000000000e+00	1.747322e-02
4.100000000000000e+00	1.699638e-02
4.200000000000001e+00	1.656914e-02
4.300000000000001e+00	1.618576e-02
4.400000000000000e+00	1.583862e-02
4.500000000000000e+00	1.552391e-02
4.600000000000001e+00	1.523590e-02
4.700000000000001e+00	1.497269e-02
4.800000000000001e+00	1.472855e-02
4.900000000000000e+00	1.450539e-02
5.000000000000000e+00	1.429939e-02
5.100000000000001e+00	1.410675e-02
5.200000000000001e+00	1.392746e-02
5.300000000000001e+00	1.375961e-02
5.400000000000000e+00	1.360321e-02
5.500000000000000e+00	1.345825e-02
5.600000000000001e+00	1.332092e-02
5.700000000000001e+00	1.319122e-02
5.800000000000001e+00	1.306915e-02
5.900000000000000e+00	1.295280e-02
6.000000000000000e+00	1.284409e-02
6.100000000000001e+00	1.274109e-02
6.200000000000001e+00	1.264381e-02
6.300000000000001e+00	1.255035e-02
6.400000000000000e+00	1.246262e-02
6.500000000000000e+00	1.237679e-02
6.600000000000001e+00	1.229668e-02
6.700000000000001e+00	1.222038e-02
6.800000000000001e+00	1.214790e-02
6.900000000000000e+00	1.207733e-02
7.000000000000000e+00	1.201057e-02
7.100000000000001e+00	1.194572e-02
7.200000000000001e+00	1.188469e-02
7.300000000000001e+00	1.182556e-02
7.400000000000000e+00	1.176834e-02
7.500000000000000e+00	1.171303e-02
7.600000000000001e+00	1.166153e-02
7.700000000000001e+00	1.161003e-02
7.800000000000001e+00	1.156235e-02
7.900000000000000e+00	1.151466e-02
8.000000000000000e+00	1.146889e-02
8.100000000000001e+00	1.142502e-02
8.200000000000001e+00	1.138306e-02
8.300000000000001e+00	1.134109e-02
8.400000000000000e+00	1.130295e-02
8.500000000000000e+00	1.126289e-02
8.600000000000001e+00	1.122665e-02
8.700000000000001e+00	1.119041e-02
8.800000000000001e+00	1.115608e-02
8.900000000000000e+00	1.112175e-02
9.000000000000000e+00	1.108932e-02
9.100000000000001e+00	1.105690e-02
9.200000000000001e+00	1.102638e-02
9.300000000000001e+00	1.099586e-02
9.400000000000000e+00	1.096725e-02
9.500000000000000e+00	1.093864e-02
9.600000000000001e+00	1.091194e-02
9.700000000000001e+00	1.088524e-02
9.800000000000001e+00	1.085854e-02
9.900000000000000e+00	1.083374e-02
1.000000000000000e+01	1.080894e-02
1.010000000000000e+01	1.078415e-02
1.020000000000000e+01	1.076126e-02
1.030000000000000e+01	1.073837e-02
1.040000000000000e+01	1.071548e-02
1.050000000000000e+01	1.069450e-02
1.060000000000000e+01	1.067162e-02
1.070000000000000e+01	1.065254e-02
1.080000000000000e+01	1.063156e-02
1.090000000000000e+01	1.061058e-02
1.100000000000000e+01	1.059151e-02
1.110000000000000e+01	1.057243e-02
1.120000000000000e+01	1.055527e-02
1.130000000000000e+01	1.053619e-02
1.140000000000000e+01	1.051903e-02
1.150000000000000e+01	1.050186e-02
1.160000000000000e+01	1.048470e-02
1.170000000000000e+01	1.046753e-02
1.180000000000000e+01	1.045227e-02
1.190000000000000e+01	1.043510e-02
1.200000000000000e+01	1.041985e-02
1.210000000000000e+01	1.040459e-02
1.220000000000000e+01	1.039124e-02
1.230000000000000e+01	1.037598e-02
1.240000000000000e+01	1.036072e-02
1.250000000000000e+01	1.034737e-02
1.260000000000000e+01	1.033401e-02
1.270000000000000e+01	1.032066e-02
1.280000000000000e+01	1.030731e-02
1.290000000000000e+01	1.029396e-02
1.300000000000000e+01	1.028061e-02
1.310000000000000e+01	1.026917e-02
1.320000000000000e+01	1.025581e-02
1.330000000000000e+01	1.024437e-02
1.340000000000000e+01	1.023293e-02
1.350000000000000e+01	1.021957e-02
1.360000000000000e+01	1.020813e-02
1.370000000000000e+01	1.019859e-02
1.380000000000000e+01	1.018715e-02
1.390000000000000e+01	1.017570e-02
1.400000000000000e+01	1.016426e-02
1.410000000000000e+01	1.015472e-02
1.420000000000000e+01	1.014519e-02
1.430000000000000e+01	1.013374e-02
1.440000000000000e+01	1.012421e-02
1.450000000000000e+01	1.011467e-02
1.460000000000000e+01	1.010513e-02
1.470000000000000e+01	1.009560e-02
1.480000000000000e+01	1.008606e-02
1.490000000000000e+01	1.007652e-02
1.500000000000000e+01	1.006699e-02
1.510000000000000e+01	1.005936e-02
1.520000000000000e+01	1.004982e-02
1.530000000000000e+01	1.004219e-02
1.540000000000000e+01	1.003265e-02
1.550000000000000e+01	1.002502e-02
1.560000000000000e+01	1.001549e-02
1.570000000000000e+01	1.000786e-02
1.580000000000000e+01	1.000023e-02
1.590000000000000e+01	9.992599e-03
1.600000000000000e+01	9.984970e-03
1.610000000000000e+01	9.977341e-03
1.620000000000000e+01	9.969711e-03
1.630000000000000e+01	9.962082e-03
1.640000000000000e+01	9.954453e-03
1.650000000000000e+01	9.946823e-03
1.660000000000000e+01	9.939194e-03
1.670000000000000e+01	9.933472e-03
1.680000000000000e+01	9.925842e-03
1.690000000000000e+01	9.920120e-03
1.700000000000000e+01	9.912491e-03
1.710000000000000e+01	9.906769e-03
1.720000000000000e+01	9.899139e-03
1.730000000000000e+01	9.893417e-03
1.740000000000000e+01	9.885788e-03
1.750000000000000e+01	9.880066e-03
1.760000000000000e+01	9.874344e-03
1.770000000000000e+01	9.868622e-03
1.780000000000000e+01	9.860992e-03
1.790000000000000e+01	9.855270e-03
1.800000000000000e+01	9.849548e-03
1.810000000000000e+01	9.843826e-03
1.820000000000000e+01	9.838104e-03
1.830000000000000e+01	9.832382e-03
1.840000000000000e+01	9.826660e-03
1.850000000000000e+01	9.820938e-03
1.860000000000000e+01	9.815216e-03
1.870000000000000e+01	9.809494e-03
1.880000000000000e+01	9.805679e-03
1.890000000000000e+01	9.799957e-03
1.900000000000000e+01	9.794235e-03
1.910000000000000e+01	9.788513e-03
1.920000000000000e+01	9.784698e-03
1.930000000000000e+01	9.778976e-03
1.940000000000000e+01	9.775162e-03
1.950000000000000e+01	9.769440e-03
1.960000000000000e+01	9.763718e-03
1.970000000000000e+01	9.759903e-03
1.980000000000000e+01	9.754181e-03
1.990000000000000e+01	9.750366e-03
2.000000000000000e+01	9.744644e-03
Step Information: Rap=11  (Step: 3/11)
-5.000000000000000e+00	3.000000e+01
-4.900000000000000e+00	3.000000e+01
-4.800000000000000e+00	3.000000e+01
-4.700000000000000e+00	3.000000e+01
-4.600000000000000e+00	3.000000e+01
-4.500000000000000e+00	3.000000e+01
-4.400000000000000e+00	3.000000e+01
-4.300000000000000e+00	3.000000e+01
-4.200000000000000e+00	3.000000e+01
-4.100000000000000e+00	3.000000e+01
-4.000000000000000e+00	3.000000e+01
-3.900000000000000e+00	3.000000e+01
-3.800000000000000e+00	3.000000e+01
-3.700000000000000e+00	3.000000e+01
-3.600000000000000e+00	3.000000e+01
-3.500000000000000e+00	3.000000e+01
-3.400000000000000e+00	3.000000e+01
-3.300000000000000e+00	3.000000e+01
-3.200000000000000e+00	3.000000e+01
-3.100000000000000e+00	3.000000e+01
-3.000000000000000e+00	3.000000e+01
-2.900000000000000e+00	3.000000e+01
-2.800000000000000e+00	3.000000e+01
-2.700000000000000e+00	3.000000e+01
-2.600000000000000e+00	3.000000e+01
-2.500000000000000e+00	3.000000e+01
-2.400000000000000e+00	3.000000e+01
-2.300000000000000e+00	3.000000e+01
-2.200000000000000e+00	3.000000e+01
-2.100000000000000e+00	3.000000e+01
-2.000000000000000e+00	3.000000e+01
-1.900000000000000e+00	3.000000e+01
