V1	V(N001,Vd)*Id(M1)+V(Vg,Vd)*Ig(M1)
Step Information: Rap=1  (Step: 1/11)
1.600000000000001e+00	1.333162e-04
1.700000000000000e+00	9.835138e-04
1.800000000000001e+00	7.235515e-03
1.900000000000000e+00	5.280415e-02
2.000000000000000e+00	3.758476e-01
2.100000000000001e+00	2.450629e+00
2.200000000000000e+00	1.152049e+01
2.300000000000001e+00	2.004862e+01
2.400000000000000e+00	2.693098e-01
2.500000000000000e+00	1.256339e-01
2.600000000000001e+00	8.734981e-02
2.700000000000000e+00	6.834206e-02
2.800000000000001e+00	5.700281e-02
2.900000000000000e+00	4.960084e-02
3.000000000000000e+00	4.432182e-02
3.100000000000000e+00	4.038809e-02
3.200000000000001e+00	3.734248e-02
3.300000000000001e+00	3.491558e-02
3.400000000000000e+00	3.293531e-02
3.500000000000000e+00	3.128759e-02
3.600000000000000e+00	2.989455e-02
3.700000000000001e+00	2.870418e-02
3.800000000000001e+00	2.766973e-02
3.900000000000000e+00	2.676521e-02
4.000000000000000e+00	2.596984e-02
4.100000000000000e+00	2.526283e-02
4.200000000000001e+00	2.463379e-02
4.300000000000001e+00	2.406193e-02
4.400000000000000e+00	2.354724e-02
4.500000000000000e+00	2.307934e-02
4.600000000000001e+00	2.265303e-02
4.700000000000001e+00	2.226310e-02
4.800000000000001e+00	2.190437e-02
4.900000000000000e+00	2.157162e-02
5.000000000000000e+00	2.126488e-02
5.100000000000001e+00	2.097892e-02
5.200000000000001e+00	2.071376e-02
5.300000000000001e+00	2.046420e-02
5.400000000000000e+00	2.023023e-02
5.500000000000000e+00	2.001706e-02
5.600000000000001e+00	1.980909e-02
5.700000000000001e+00	1.961671e-02
5.800000000000001e+00	1.943473e-02
5.900000000000000e+00	1.926835e-02
6.000000000000000e+00	1.910197e-02
6.100000000000001e+00	1.895119e-02
6.200000000000001e+00	1.880560e-02
6.300000000000001e+00	1.866521e-02
6.400000000000000e+00	1.853523e-02
6.500000000000000e+00	1.841044e-02
6.600000000000001e+00	1.829085e-02
6.700000000000001e+00	1.817646e-02
6.800000000000001e+00	1.806727e-02
6.900000000000000e+00	1.796328e-02
7.000000000000000e+00	1.786449e-02
7.100000000000001e+00	1.777089e-02
7.200000000000001e+00	1.767730e-02
7.300000000000001e+00	1.758891e-02
7.400000000000000e+00	1.750571e-02
7.500000000000000e+00	1.742252e-02
7.600000000000001e+00	1.734452e-02
7.700000000000001e+00	1.727173e-02
7.800000000000001e+00	1.719893e-02
7.900000000000000e+00	1.712614e-02
8.000000000000000e+00	1.705854e-02
8.100000000000001e+00	1.699615e-02
8.200000000000001e+00	1.693375e-02
8.300000000000001e+00	1.687135e-02
8.400000000000000e+00	1.681416e-02
8.500000000000000e+00	1.675696e-02
8.600000000000001e+00	1.669976e-02
8.700000000000001e+00	1.664776e-02
8.800000000000001e+00	1.659577e-02
8.900000000000000e+00	1.654377e-02
9.000000000000000e+00	1.649697e-02
9.100000000000001e+00	1.645017e-02
9.200000000000001e+00	1.640338e-02
9.300000000000001e+00	1.635658e-02
9.400000000000000e+00	1.631498e-02
9.500000000000000e+00	1.627338e-02
9.600000000000001e+00	1.623178e-02
9.700000000000001e+00	1.619019e-02
9.800000000000001e+00	1.615379e-02
9.900000000000000e+00	1.611219e-02
1.000000000000000e+01	1.607579e-02
1.010000000000000e+01	1.603939e-02
1.020000000000000e+01	1.600819e-02
1.030000000000000e+01	1.597179e-02
1.040000000000000e+01	1.594059e-02
1.050000000000000e+01	1.590940e-02
1.060000000000000e+01	1.587300e-02
1.070000000000000e+01	1.584700e-02
1.080000000000000e+01	1.581580e-02
1.090000000000000e+01	1.578460e-02
